date,newcases,newcases100k,totalcases,prevalence,incidence,incidence7d,deathrate
2020-01-21,0,0,0.001937984496124,0.001937984496124,0,0,0
2020-01-22,0,0,0.001937984496124,0.001937984496124,0,0,0
2020-01-23,0,0,0.001937984496124,0.001937984496124,0,0,0
2020-01-24,1,0.001937984496124,0.003875968992248,0.003875968992248,0.001937984496124,0,0
2020-01-25,0,0,0.003875968992248,0.003875968992248,0,0,0
2020-01-26,1,0.001937984496124,0.005813953488372,0.005813953488372,0.001937984496124,0.000645994832041,0
2020-01-27,1,0.001937984496124,0.007751937984496,0.007751937984496,0.001937984496124,0.000830564784053,0
2020-01-28,0,0,0.007751937984496,0.007751937984496,0,0.000830564784053,0
2020-01-29,0,0,0.007751937984496,0.007751937984496,0,0.000830564784053,0
2020-01-30,3,0.005813953488372,0.013565891472868,0.013565891472868,0.005813953488372,0.001661129568106,0
2020-01-31,4,0.007751937984496,0.021317829457364,0.021317829457364,0.007751937984496,0.002491694352159,0
2020-02-01,1,0.001937984496124,0.023255813953488,0.023255813953488,0.001937984496124,0.002768549280177,0
2020-02-02,3,0.005813953488372,0.029069767441861,0.029069767441861,0.005813953488372,0.003322259136213,0
2020-02-03,0,0,0.029069767441861,0.029069767441861,0,0.003045404208195,0
2020-02-04,1,0.001937984496124,0.031007751937985,0.031007751937985,0.001937984496124,0.003322259136213,0
2020-02-05,2,0.003875968992248,0.034883720930233,0.032945736434109,0.003875968992248,0.003875968992248,0
2020-02-06,5,0.00968992248062,0.044573643410853,0.040697674418605,0.00968992248062,0.004429678848284,0
2020-02-07,1,0.001937984496124,0.046511627906977,0.042635658914729,0.001937984496124,0.00359911406423,0
2020-02-08,0,0,0.046511627906977,0.042635658914729,0,0.003322259136213,0
2020-02-09,3,0.005813953488372,0.052325581395349,0.044573643410853,0.005813953488372,0.003322259136213,0
2020-02-10,0,0,0.052325581395349,0.044573643410853,0,0.003322259136213,0
2020-02-11,2,0.003875968992248,0.056201550387597,0.042635658914729,0.003875968992248,0.00359911406423,0
2020-02-12,0,0,0.056201550387597,0.042635658914729,0,0.003045404208195,0
2020-02-13,0,0,0.056201550387597,0.036821705426357,0,0.001661129568106,0
2020-02-14,0,0,0.056201550387597,0.036821705426357,0,0.001384274640089,0
2020-02-15,0,0,0.056201550387597,0.036821705426357,0,0.001384274640089,0
2020-02-16,0,0,0.056201550387597,0.034883720930233,0,0.000553709856035,0
2020-02-17,0,0,0.056201550387597,0.034883720930233,0,0.000553709856035,0
2020-02-18,1,0.001937984496124,0.058139534883721,0.036821705426357,0.001937984496124,0.000276854928018,0
2020-02-19,22,0.042635658914729,0.10077519379845,0.075581395348837,0.042635658914729,0.006367663344408,0
2020-02-20,52,0.10077519379845,0.201550387596899,0.166666666666667,0.10077519379845,0.020764119601329,0.009615384615385
2020-02-21,100,0.193798449612403,0.395348837209302,0.36046511627907,0.193798449612403,0.048449612403101,0.004901960784314
2020-02-22,229,0.443798449612403,0.839147286821705,0.798449612403101,0.443798449612403,0.111849390919158,0.006928406466513
2020-02-23,169,0.327519379844961,1.16666666666667,1.12403100775194,0.327519379844961,0.158637873754153,0.006644518272425
2020-02-24,231,0.447674418604651,1.61434108527132,1.56395348837209,0.447674418604651,0.222591362126246,0.009603841536615
2020-02-25,144,0.27906976744186,1.89341085271318,1.82945736434109,0.27906976744186,0.26218161683278,0.012282497441146
2020-02-26,284,0.550387596899225,2.4437984496124,2.37596899224806,0.550387596899225,0.334717607973422,0.010309278350516
2020-02-27,505,0.978682170542636,3.42248062015504,3.35271317829457,0.978682170542636,0.460132890365449,0.007361268403171
2020-02-28,571,1.10658914728682,4.52906976744186,4.45348837209302,1.10658914728682,0.590531561461794,0.005562687205819
2020-02-29,813,1.57558139534884,6.1046511627907,6.02131782945737,1.57558139534884,0.752214839424142,0.005396825396825
2020-03-01,586,1.13565891472868,7.24031007751938,7.1453488372093,1.13565891472868,0.86766334440753,0.004817987152034
2020-03-02,476,0.922480620155039,8.16279069767442,8.05426356589147,0.922480620155039,0.935492801771871,0.005223171889839
2020-03-03,600,1.16279069767442,9.32558139534884,9.19961240310077,1.16279069767442,1.06173864894795,0.005818786367415
2020-03-04,515,0.998062015503876,10.3236434108527,10.1608527131783,0.998062015503876,1.12569213732004,0.006007133470997
2020-03-05,439,0.85077519379845,11.1744186046512,10.937984496124,0.85077519379845,1.10741971207087,0.005896635449185
2020-03-06,518,1.00387596899225,12.1782945736434,11.8895348837209,1.00387596899225,1.09274640088594,0.006524506683641
2020-03-07,483,0.936046511627907,13.1143410852713,12.8023255813953,0.936046511627907,1.00138427464009,0.006354366779962
2020-03-08,367,0.711240310077519,13.8255813953488,13.4767441860465,0.711240310077519,0.940753045404208,0.007008690776563
2020-03-09,248,0.48062015503876,14.3062015503876,13.8856589147287,0.48062015503876,0.877630121816168,0.006908696830127
2020-03-10,131,0.253875968992248,14.5600775193798,13.9767441860465,0.253875968992248,0.747785160575858,0.007187541594569
2020-03-11,242,0.468992248062015,15.0290697674419,14.3546511627907,0.468992248062015,0.672203765227021,0.007736943907157
2020-03-12,114,0.22093023255814,15.25,14.4767441860465,0.22093023255814,0.582225913621263,0.008387342737324
2020-03-13,110,0.213178294573643,15.4631782945736,14.3449612403101,0.213178294573643,0.469269102990033,0.008397042235869
2020-03-14,107,0.207364341085271,15.6705426356589,14.1472868217054,0.207364341085271,0.365171650055371,0.008904279000742
2020-03-15,76,0.147286821705426,15.8178294573643,14.0562015503876,0.147286821705426,0.284606866002215,0.009188924283264
2020-03-16,70,0.135658914728682,15.953488372093,13.6046511627907,0.135658914728682,0.235326688815061,0.009110787172012
2020-03-17,82,0.158914728682171,16.1124031007752,13.2403100775194,0.158914728682171,0.221760797342193,0.009742602838586
2020-03-18,88,0.170542635658915,16.2829457364341,13.1356589147287,0.170542635658915,0.179125138427464,0.009997619614378
2020-03-19,147,0.284883720930233,16.5678294573643,12.6182170542636,0.284883720930233,0.188261351052049,0.01064451982688
2020-03-20,86,0.166666666666667,16.734496124031,12.2248062015504,0.166666666666667,0.181616832779623,0.010885929357267
2020-03-21,141,0.273255813953488,17.0077519379845,11.7480620155039,0.273255813953488,0.191029900332226,0.011622607110301
2020-03-22,87,0.168604651162791,17.1763565891473,11.3372093023256,0.168604651162791,0.194075304540421,0.01173417578698
